# All named functions
# Address	Size	Name
# Extracted from: superb

001611a4	8	_init
001611c0	12	epoll_ctl
001611d0	12	timer_delete
001611dc	12	pthread_cond_signal
001611e8	12	operator+=
001611f4	12	gethostbyname2
00161200	12	pthread_attr_setschedpolicy
0016120c	12	__aeabi_d2uiz
00161218	12	__fstat_time64
00161228	12	operator.new
00161234	12	now
00161244	12	syscall
00161254	12	_M_hook
00161260	12	__libc_start_main
00161270	12	strncasecmp
00161280	12	signal
0016128c	12	roundf
00161298	12	__aeabi_uldivmod
001612a4	12	connect
001612b4	12	strncpy
001612d0	12	resize
001612dc	12	realpath
001612e8	12	posix_spawn
001612f4	2	ftell
001612f8	12	ftell
00161304	12	exit
00161310	12	_Rb_tree_insert_and_rebalance
00161320	12	strlen
00161330	12	__aeabi_atexit
00161340	12	atof
00161350	12	printf
0016135c	12	sync
00161368	12	__pthread_mutex_timedlock_time64
00161374	12	find
00161380	12	__aeabi_f2ulz
00161390	12	strdup
0016139c	12	logf
001613a8	12	ntohs
001613b4	12	_M_leak_hard
001613c0	12	replace
001613cc	12	sincos
001613d8	12	compare
001613e4	12	close
001613f0	12	tcflush
001613fc	2	free
00161400	12	free
0016140c	12	abort
0016141c	12	memmove
00161428	12	setsid
00161434	12	htons
00161440	12	~ifstream
0016144c	12	freeaddrinfo
00161458	12	__aeabi_fcmple
00161464	12	terminate
00161470	12	_M_set_length_and_sharable
0016147c	12	gethostbyname
00161488	12	pthread_mutexattr_destroy
00161494	12	ios_base
001614a0	12	fork
001614ac	12	__gmtime64_r
001614b8	12	compare
001614c4	12	pthread_mutex_init
001614d0	12	~ios_base
001614dc	12	operator<<
001614e8	12	substr
001614f4	12	mount
00161500	12	__ctype_get_mb_cur_max
00161510	12	pthread_create
0016151c	12	__aeabi_i2f
00161528	12	__throw_bad_alloc
00161534	12	sin
00161540	12	find_last_of
0016154c	12	_M_insert<long_long>
00161558	12	__throw_bad_function_call
00161568	12	fprintf
00161574	12	strtok
00161580	12	seekg
0016158c	12	freeifaddrs
0016159c	12	assign
001615a8	12	__tls_get_addr
001615b4	12	__aeabi_dmul
001615c0	12	__cxa_begin_catch
001615cc	12	resize
001615d8	12	exp
001615e4	12	shmget
001615f0	12	__aeabi_uidivmod
00161600	12	atoi
0016160c	12	getnetbyname
00161618	12	pthread_cond_broadcast
00161624	12	getpeername
00161630	12	__nanosleep_time64
00161640	12	puts
0016164c	12	getc
00161658	12	ntohl
00161664	12	__aeabi_ui2f
