# Cloud/MQTT/IoT functions
# Address	Size	Name
# Extracted from: superb

0017641c	6	linkkit_is_running
00176428	8	linkkit_get_def_cfg
00176434	52	linkkit_save_cfg
0017646c	80	linkkit_load_cfg
001764c8	62	linkkit_storage_format
00176918	5828	linkkit_set_property_handler
001782d0	78	linkkit_post_face_recognition_event
0017832c	246	linkkit_post_nvr_property
00178440	56	linkkit_post_raw_data
00178484	4	linkkit_post_rtmp_property
00178488	138	linkkit_wifi_4g_sync_propert_to_colud
00178520	1966	linkkit_post_dynamic_property
00178e90	3936	linkkit_post_common_property
0017a360	6286	linkkit_set_service_handler
0017bf00	6	linkkit_ota_call
0017bf06	102	linkkit_awss_start
0017bf7c	32	linkkit_awss_stop
0017bfa4	16	linkkit_awss_connect
0017bfb4	24	linkkit_sync_ntp_time
0017bfd0	64	linkkit_get_auth
0017c498	38	linkkit_sub_ipc_connect
0017c4be	8	linkkit_set_dynamic_region
0017c4cc	806	linkkit_client_start
0017c854	106	linkkit_client_destroy
0017f0a8	476	sub_ipc_slave_property_post
0017f2c0	524	sub_ipc_slave_property_set
0017f4ec	60	sub_ipc_set_property_handler
0017fc78	76	lv_post_cloud_event
00181a40	28	~pictureProperty
001839bc	38	~IntelligentAlarmPropertyGateway
001839e2	76	IntelligentAlarmPropertyGateway
00185c70	46	OnP2PMsgRecv
001861bc	50	SetConnectionProperty
00187942	432	SetVodProperty
00187af4	130	~P2pMonitorInfo
0018f9c6	434	onStartP2pStreaming
0018ff68	372	onStartP2PVodByFile
00190108	456	onStartP2PVodByTime
00192178	1010	onStartP2PLive
00192640	60	StreamManagerProperty
00193410	44	TaskEntryCloudEvent
001935e2	104	~TaskEntryCloudEvent
00193650	18	~TaskEntryCloudEvent
001937f4	90	CloudEventAsync
00193ce0	16	~PropertyTask
00193cf4	18	~PropertyTask
00193edc	16	PropertyTask
00194070	438	ReportProperty
001942b8	68	ReportPropertyAsync
00194c74	952	ReportP2pV1_3
001955e0	304	AddProperty
00196e12	152	_M_emplace_unique<std::pair<int,linkvisual::OssIdentify::OssIdentifyProperty*>>
001ab71a	152	_M_emplace_unique<std::pair<int,linkvisual::StreamManagerProperty*>>
001ce5ae	202	P2PTransportChannel
001cf562	228	~P2PTransportChannel
001cf64c	18	~P2PTransportChannel
001d1f48	74	SendP2PMsg
001d503c	4	SetP2PChannel
001e3b14	4	aiot_al_mutex_init
001e3b18	4	aiot_al_mutex_lock
001e3b1c	4	aiot_al_mutex_unlock
001e3b20	4	aiot_al_mutex_deinit
001e3b24	40	aiot_al_thread_create
001e3d8c	4	aiot_al_thread_delete
001e3d90	54	aiot_kv_del_all
001e3dd0	408	aiot_kv_init
001e446c	8	iotx_register_for_ITE_PROPERTY_SET
001e4478	8	iotx_register_for_ITE_PROPERTY_GET
001e450c	10	iotx_register_for_ITE_MQTT_CONNECT_SUCC
001e451c	10	iotx_register_for_ITE_CLOUD_ERROR
001e4584	10	iotx_register_for_ITE_STATE_MQTT_COMM
001e47b8	86	iotx_guider_set_dynamic_mqtt_url
001e775c	196	IOT_Linkkit_Open
001e783c	170	IOT_Linkkit_Connect
001e7910	178	IOT_Linkkit_Close
001e7a78	78	IOT_Linkkit_Yield
001e7ad8	166	IOT_Linkkit_Report_Ext
001e7b98	1076	IOT_Linkkit_Report
001e8048	220	IOT_Linkkit_Query
001e8150	104	IOT_Linkkit_TriggerEvent
001e81c8	32	iot_linkkit_subdev_query_id
001e81f4	56	IOT_SetLogLevel
001e823c	40	IOT_DumpMemoryStats
001e8270	382	IOT_SetupConnInfo
001e842c	160	IOT_Ioctl
001e8f18	188	MQTTConnect
001e8fe4	544	MQTTPublish
001ea59c	690	IOT_MQTT_Construct
001ea89a	70	IOT_MQTT_Destroy
001ea8f4	2784	IOT_MQTT_Yield
001eb4f8	54	IOT_MQTT_CheckStateNormal
001eb544	554	IOT_MQTT_Subscribe
001eb610	542	IOT_MQTT_Subscribe_Sync
001eb864	88	IOT_MQTT_Unsubscribe
001eb8d8	88	IOT_MQTT_Publish
001eb94c	102	IOT_MQTT_Publish_Simple
001eb9d0	124	MQTTSerialize_connectLength
001eba4c	276	MQTTSerialize_connect
001ebb68	72	MQTTDeserialize_connack
001ebbb0	50	MQTTSerialize_zero
001ebbe2	6	MQTTSerialize_disconnect
001ebbe8	6	MQTTSerialize_pingreq
001ebbf0	138	MQTTDeserialize_publish
001ebc7a	68	MQTTDeserialize_ack
001ebcec	58	MQTTPacket_encode
001ebd26	58	MQTTPacket_decode
001ebd60	32	MQTTPacket_len
001ebd84	10	MQTTPacket_decodeBuf
001ebe1e	68	writeMQTTString
001ebe62	48	readMQTTLenString
001ebe92	24	MQTTstrlen
001ebea8	18	MQTTPacket_equals
001ebebc	36	MQTTSerialize_publishLength
001ebee0	146	MQTTSerialize_publish
001ebf72	78	MQTTSerialize_ack
001ebfc0	46	MQTTSerialize_subscribeLength
001ebfee	126	MQTTSerialize_subscribe
001ec06c	114	MQTTDeserialize_suback
001ec0de	46	MQTTSerialize_unsubscribeLength
001ec10c	116	MQTTSerialize_unsubscribe
001ec180	44	MQTTDeserialize_unsuback
001ec406	48	iotx_dm_post_property_to
001ec436	44	iotx_dm_post_property
001ec5e4	106	iotx_dm_send_property_get_response
001edf98	134	dm_mgr_upstream_thing_sub_register
001ee02c	134	dm_mgr_upstream_thing_sub_unregister
001ee0c0	138	dm_mgr_upstream_thing_topo_add
001ee158	134	dm_mgr_upstream_thing_topo_delete
001ee1ec	154	dm_mgr_upstream_thing_subdev_reset
001ee290	122	dm_mgr_upstream_thing_topo_get
001ee318	134	dm_mgr_upstream_thing_list_found
001ee49c	208	dm_mgr_upstream_thing_model_up_raw
001ee58c	114	dm_mgr_upstream_thing_property_post
001ee60c	156	dm_mgr_upstream_thing_property_post_to
001eea68	204	dm_mgr_upstream_thing_log_post
001eeb58	208	dm_mgr_upstream_thing_event_post
001eec30	98	dm_mgr_upstream_thing_deviceinfo_update
001eeca0	98	dm_mgr_upstream_thing_deviceinfo_delete
001eed10	230	dm_mgr_upstream_thing_service_response
001eee08	154	dm_mgr_upstream_thing_property_get_response
001eeeb4	114	dm_mgr_upstream_thing_event_notify_reply
001ef68c	190	dm_msg_thing_model_down_raw
001ef750	154	dm_msg_thing_model_link_visual
001ef7f0	190	dm_msg_thing_model_up_raw_reply
001ef8b4	92	dm_msg_property_set
001ef914	162	dm_msg_property_get
001ef9bc	282	dm_msg_thing_service_request
001efae0	170	dm_msg_thing_event_property_post_reply
001efc2c	138	dm_msg_thing_deviceinfo_update_reply
001efcbc	138	dm_msg_thing_deviceinfo_delete_reply
001efd4c	164	dm_msg_thing_event_post_reply
001efdf4	170	dm_msg_thing_event_notify_reply
001eff5c	92	dm_msg_thing_event_notify
001f0248	128	dm_msg_thing_disable
001f02cc	132	dm_msg_thing_enable
001f0354	168	dm_msg_thing_delete
001f0400	128	dm_msg_thing_topo_change
001f0484	100	dm_msg_thing_gateway_permit
001f04e8	522	dm_msg_thing_sub_register_reply
001f0710	148	dm_msg_thing_sub_unregister_reply
001f07a8	144	dm_msg_thing_topo_add_reply
001f083c	144	dm_msg_thing_topo_delete_reply
001f08d0	144	dm_msg_thing_subdev_reset_reply
