# Other interesting functions
# Address	Size	Name
# Extracted from: superb

00161db8	12	wcscmp
0016390c	18	ptz_test_init
0016bd20	54	__save_osd_time
00173430	20	SYSFuncs_reboot
0017344c	194	SYSFuncs_factory_default
00173540	350	SYSFuncs_factory_default_without_reboot
00173718	124	SYSFuncs_factory_default_by_remote
00175510	154	SYSFuncs_update_hwinfo
00175bcc	30	aliyun_reset
00175da0	116	preset_queueing_timer_process
00176884	4	is_preset_filted
00176888	38	preset_queueing_add
001768b8	38	preset_queueing_locate
001768e8	38	preset_queueing_del
0017d8a0	8	linkvisual_touchkey_alarm_push
0017fa48	192	lv_post_intelligent_alarm
0017fb28	204	lv_post_alarm_image
0017fc14	76	lv_post_query_record
0018069c	300	lv_post_intelligent_alarm_gateway
001807e4	324	lv_post_intelligent_alarm_gateway_batch
00181c02	48	IntelligentAlarmEventSession
00181d1a	36	~IntelligentAlarmEventSession
001825f4	502	AddAlarmEventSingle
001828c0	150	_M_realloc_insert<linkvisual::IntelligentAlarmTask*>
0018295c	34	emplace_back<linkvisual::IntelligentAlarmTask*>
00182ba0	78	IntelligentAlarmTask
00182cc6	40	IntelligentAlarmTaskSingle
00182d1e	42	IntelligentAlarmTaskGatewaySingle
00182d54	42	AlarmEventTaskSingle
00182db8	106	~IntelligentAlarmTask
00182e28	18	~IntelligentAlarmTask
00182e3a	32	~IntelligentAlarmTaskSingle
00182e60	18	~IntelligentAlarmTaskSingle
00182e72	32	~AlarmEventTaskSingle
00182e98	18	~AlarmEventTaskSingle
001831c4	72	~IntelligentAlarmTaskGatewayBatch
00183210	18	~IntelligentAlarmTaskGatewayBatch
00183222	88	IntelligentAlarmTaskGatewayBatch
001835dc	60	~IntelligentAlarmTaskGatewaySingle
0018361c	18	~IntelligentAlarmTaskGatewaySingle
001837a0	40	MakeShared<linkvisual::IntelligentAlarmResultSingle>
001837c8	40	MakeShared<linkvisual::IntelligentAlarmResultGatewaySingle>
001837f0	40	MakeShared<linkvisual::AlarmEventResultSingle>
0018390a	62	MakeShared<linkvisual::IntelligentAlarmResultGatewayBatch,linkvisual::IntelligentAlarmResultGatewayBatchHelper>
001839bc	38	~IntelligentAlarmPropertyGateway
001839e2	76	IntelligentAlarmPropertyGateway
00184b40	48	DelayDetect
00184dc4	76	~DelayDetect
00184e14	18	~DelayDetect
00185050	48	MtuDetect
001852ac	76	~MtuDetect
001852fc	18	~MtuDetect
00185474	54	~PortDetect
001854b0	18	~PortDetect
001854c2	46	SetPortDetectTask
0018553c	26	PortDetect
001855d8	24	~PortDetectClient
001855f4	18	~PortDetectClient
00185606	70	PortDetectClient
0018581e	20	~PortDetectTask
00185834	274	_M_realloc_insert<linkvisual::PortDetectTask_const&>
00185a08	34	~PublicIpDetect
00185a30	18	~PublicIpDetect
00185a88	18	PublicIpDetect
00185f50	4	onAudioData
00188054	60	CheckAudio
00188322	98	CheckAudio
00188f4c	148	CheckAudio
00188ff0	14	Reset
0018920c	40	RelayServiceFactory
0018939c	52	SetEncrypt
001894c0	48	SetAudioCodec
0018953a	64	AddAudioFrame
001895d0	30	~RelayServiceFactory
00189b3c	2	OnAudio
00189b3e	2	OnAudioFormat
00189bc0	4	AddAudioFrame
0018a196	2	OnAudio
0018a198	2	OnAudioFormat
0018a20c	4	AddAudioFrame
0018a6c0	2	OnAudio
0018a6c2	2	OnAudioFormat
0018a714	4	AddAudioFrame
0018a8c4	2	OnAudio
0018a8c6	2	OnAudioFormat
0018aa60	44	AddAudioFrame
0018ae96	30	AddAudioFrame
0018b128	42	AddAudioData
0018b152	32	OnAudio
0018b200	8	OnAudioFormat
0018b478	88	onDelayDetectTestResponse
0018b5fa	18	~RpcQueryRecord
0018b610	18	~RpcQueryRecord
0018b71c	26	RpcQueryRecord
0018b96c	156	queryStorageRecordByMonthResponse
0018be50	630	queryRecordList
0018c3e8	394	onDelayDetectResponse
0018c5ac	334	onMtuDetectResponse
0018c730	444	onPortDetectResponse
0018c976	308	onQueryRecordTimeList
0018cac8	334	onQueryRecordList
0018cc38	270	onQueryRecordListByMonth
0018cd5c	486	onDelayDetectRequest
0018cf84	582	onPortDetectRequest
0018d670	476	onMtuDetectRequest
0018d888	738	onStunDetectRequest
0018dbb0	820	queryRecordByTimeList
0018df0c	412	QueryRecordResponse
0018e0bc	632	onStunDetectResponse
0018e4da	58	MakeShared<linkvisual::RpcQueryRecord>
0018e5c6	170	_M_emplace_unique<std::pair<int,linkvisual::SharedPtr<linkvisual::RpcQueryRecord>>>
0018e670	204	_M_realloc_insert<linkvisual::DelayDetectTask_const&>
0018f4cc	276	DispatchSendAudio
001933ac	50	TaskEntryQueryRecord
00193566	44	~TaskEntryQueryRecord
00193598	18	~TaskEntryQueryRecord
00193918	88	QueryStorageRecordAsync
00193c6a	16	ResetDns
00193dee	38	SetReportSupportPreRecord
00193ea0	38	SetEnableEventRecordConfigurable
001961bc	16	~CheckUpdateTask
001961d0	18	~CheckUpdateTask
00196336	22	CheckUpdateTask
00196454	304	stsUpdate
00196a24	250	ForceStsUpdate
00197c50	10	InternalInitPeerFactory
0019b250	30	Reset
0019ffdc	6	SetEncryption
0019ffe2	6	SetAudioCodec
001a0012	22	SendAudio
001a00c4	172	onAudio
001a017c	34	onAudio
001a205e	6	lv_md5_update
001a3066	6	lv_sha1_update
001a3388	192	lv_sha256_update
001a3cfa	18	Reset
001a4200	28	Reset
001a7b5e	38	GetFrameDropAndReset
001a801a	34	~AlarmEventResult
001a8040	18	~AlarmEventResult
001a8052	20	AlarmEventResult
001a809a	50	AlarmEventService
001a80f8	50	~AlarmEventService
001a9138	42	~AlarmEventResultSingle
001a9168	18	~AlarmEventResultSingle
001a917a	42	~IntelligentAlarmResultSingle
001a91a8	18	~IntelligentAlarmResultSingle
001a91ba	26	IntelligentAlarmResultSingle
001a9218	28	IntelligentAlarmResultGatewaySingle
001a923c	18	IntelligentAlarmResultGatewayBatchHelper
001a9258	42	~IntelligentAlarmResultGatewayBatchHelper
001a9282	24	AlarmEventResultSingle
001a9b30	32	~IntelligentAlarmResultGatewayBatch
001a9b54	18	~IntelligentAlarmResultGatewayBatch
001a9b66	112	IntelligentAlarmResultGatewayBatch
001a9cd4	70	~IntelligentAlarmResultGatewaySingle
001a9d20	18	~IntelligentAlarmResultGatewaySingle
001a9e96	54	~IntelligentAlarmResultGatewayBatchHelperData
001a9f48	92	IntelligentAlarmResultGatewayBatchHelperData
001a9fa4	134	_M_realloc_insert<linkvisual::IntelligentAlarmResultGatewayBatchHelperData_const&>
001aa030	8	AudioCheck
001aa038	2	~AudioCheck
001aa094	16	Reset
001aa1fc	2	CheckAudio
001aa244	48	Reset
001aa2f4	20	Reset
001aaa2c	96	addAudioFrame
001aab58	136	SetAudioCodec
001aad20	70	SetEncryption
001ab30a	110	Update
001ac3d0	16	~SlsCheckUpdateTask
001ac3e4	18	~SlsCheckUpdateTask
001ac504	22	SlsCheckUpdateTask
001ac610	214	slsUpdate
001ac6fc	136	ForceSlsUpdate
001ad138	24	Reset
001ad938	34	UpdateMinLogSeverity
001ae44a	20	UpdateLastError
001afd68	8	setStunPassword
001afd74	14	getStunPassword
001b0ce6	2	CleanRequestsRecord
001b1d64	80	UpdateIceParametersInternal
001b3728	2	UpdateIceParametersInternal
001b4de4	342	addressRecord
001b6b18	48	Reset
001b7a0c	14	Reset
001b7a1a	338	Update
001b83da	78	SetEncryption
001b8428	22	SetAudioCodec
001b87a4	264	SendAudio
001b8a86	12	FlvTagBodyAudioData
001b8a92	16	~FlvTagBodyAudioData
001b8e54	28	FlvTagBodyAudioDataParse
001b8e70	16	~FlvTagBodyAudioDataParse
001b99b8	12	AudioSequenceHeader
001b99c8	20	~AudioSequenceHeader
001b9a2e	18	~AudioSequenceHeader
001ba448	86	rtmp_client_send_request_audio_type
001bb1ee	8	AES_ECB_encrypt
001bb1f6	8	AES_ECB_decrypt
001bb1fe	84	AES_CBC_encrypt_buffer
001bb252	122	AES_CBC_decrypt_buffer
001bb348	88	Encrypt
001bb3a0	32	Decrypt
001bd4f0	246	UpdateLocalTracks
001bdb34	552	UpdateRemoteStreamsList
001bdee8	156	UpdateEndedRemoteMediaStreams
001be154	4	UpdateIce
001be158	4	UpdateIce
001be6b6	16	reset
001be6c6	16	reset
001c075c	84	UpdateCodec
001c376c	126	UpdateFromWildcardCodecs<cricket::VideoCodec>
001c46c4	236	UpdateSessionState
001c4f66	16	reset
001c510a	160	WebRtcSessionDescriptionFactory
001c544e	186	~WebRtcSessionDescriptionFactory
001c550c	18	~WebRtcSessionDescriptionFactory
001c7202	26	PacketTimeUpdateParams
001c721c	16	~PacketTimeUpdateParams
001c753c	4	ResetSeed
001c78cc	16	reset
001c98e4	104	UpdateNetworksOnce
001c994c	4	UpdateNetworksContinually
001c9da2	26	reset
001caeb4	108	SHA1Update
001cafe4	6	Update
001cc1dc	34	UpdateSendState
001ce29e	18	BasicPacketSocketFactory
001ce2b0	2	~BasicPacketSocketFactory
001ce318	6	socket_factory
001ceaa8	40	UpdateConnectionStates
001cf1fc	44	RequestSortAndStateUpdate
001cf7f4	94	UpdateState
001d0a10	188	SortConnectionsAndUpdateState
001d28b8	78	UpdateReceiving
001d2be8	248	UpdateState
001d3fd4	662	MaybeUpdateLocalCandidate
001d4738	96	MaybeUpdatePeerReflexiveCandidate
001d4a9a	32	CleanRequestsRecord
001d7882	326	UpdateAggregateStates_n
001d7ef8	2	TransportDescriptionFactory
