# ioctl-related functions
# Address	Size	Name
# Extracted from: superb

001617c4	12	ioctl
001e842c	160	IOT_Ioctl
001fef14	848	IOT_OTA_Ioctl
00314426	26	isp_ioctl
00338548	8	ioctl_msg_func
00338e64	116	open_atbm_ioctl
00338ef0	14	ble_ioctl_tx
00339054	120	hif_ioctl_init
003390f0	210	hif_ioctl_loop
0033af42	2	atbm_ioctl_ble_smt_event_async
004964d8	112	aiv_ioctl_close_fd
00496560	170	aiv_ioctl_proc_init
00496648	144	aiv_ioctl_proc_exit
00496704	144	aiv_ioctl_proc_writing
004967c0	144	aiv_ioctl_proc_end_write
0049687c	160	aiv_ioctl_vdb_init
00496958	160	aiv_ioctl_vdb_exit
00496a34	160	aiv_ioctl_vdb_set_value
00496b10	164	aiv_ioctl_vdb_get_value
00496bf0	170	aiv_ioctl_vb_add
00496cd8	170	aiv_ioctl_vb_sub
00496dc0	170	aiv_ioctl_vb_copy_supp
00496ea8	152	aiv_ioctl_fq_source_create
00496f6c	152	aiv_ioctl_fq_source_destroy
00497030	154	aiv_ioctl_fq_source_set_depth
004970fc	260	aiv_ioctl_fq_source_send_frame
00497244	242	aiv_ioctl_fq_source_get_frame
00497374	154	aiv_ioctl_fq_source_release_frame
00497440	152	aiv_ioctl_fq_sink_create
00497504	152	aiv_ioctl_fq_sink_destroy
004975c8	154	aiv_ioctl_fq_sink_set_depth
00497694	256	aiv_ioctl_fq_sink_send_frame
004977d8	242	aiv_ioctl_fq_sink_get_frame
00497908	154	aiv_ioctl_fq_sink_release_frame
004979d4	152	aiv_ioctl_source_enable
00497a98	152	aiv_ioctl_source_disable
00497b5c	164	aiv_ioctl_source_get_frame
00497c34	180	aiv_ioctl_source_release_frame
00497d24	152	aiv_ioctl_sink_enable
00497de8	152	aiv_ioctl_sink_disable
00497eac	188	aiv_ioctl_sink_get_frame
00497fa8	180	aiv_ioctl_sink_send_frame
00498098	152	aiv_ioctl_check_chipid
004a9f58	102	osal_ioctldev
004aacf0	14	crypto_cipher_ioctl
009cc13c	1	ioctl
