# Sensor control (secu_sensor_*)
# Address	Size	Name
# Extracted from: superb

0028f100	172	secu_sensor_set_ircut
0028f206	110	secu_sensor_Adc_CheckNight_v2
0028f274	24	secu_sensor_get_ircut_staus
0028f2ac	226	secu_sensor_saturate_set
0028fd00	36	secu_sensor_daynight_ae_set
0028fd24	76	secu_sensor_set_exp_mode
0028fd70	24	secu_sensor_set_exp_params
0028fd88	54	secu_sensor_set_nightmode
0028fdbe	446	secu_sensor_b_night_auto
002900f2	154	secu_sensor_b_night
0029018c	16	secu_sensor_b_night_use_ae
002901b4	36	secu_sensor_brightness
002901d8	24	secu_sensor_antifog
002901f0	36	secu_sensor_light
00290214	36	secu_sensor_saturation
00290238	36	secu_sensor_contrast
0029025c	88	secu_sensor_sharpness
002902b4	26	secu_sensor_mirror_flip
002902ce	28	secu_sensor_mirror_flip_set
00290314	24	secu_sensor_awb
0029032c	46	secu_sensor_nocolour
0029035a	24	secu_sensor_chroma
00290372	36	secu_sensor_wdr
00290396	22	secu_sensor_set_fps
002903ac	294	secu_sensor_low_frame
002904d2	24	secu_sensor_get_low_frame
002904ea	92	secu_sensor_get_b_low_frame
00290546	24	secu_sensor_auto_lowframe_enable
0029055e	56	secu_sensor_set_daynight_mode
00290596	22	secu_sensor_get_focus_value
002905ac	24	secu_sensor_set_definition
002905c4	138	secu_sensor_set_sence
002906c2	22	secu_sensor_ae_set
002906d8	22	secu_sensor_ae_get
002906ee	22	secu_sensor_drc_set
00290704	22	secu_sensor_drc_get
0029071a	24	secu_sensor_set_local_exposure
00290732	24	secu_sensor_get_local_exposure
0029074a	22	secu_sensor_get_dis
00290760	24	secu_sensor_set_dis
00290778	16	secu_sensor_wdr_mode_get
00290788	22	secu_sensor_wdr_switch
0029079e	16	secu_sensor_check_live
002907ae	22	secu_sensor_rotate_get
002907c4	22	secu_sensor_rotate_set
002ae800	64	secu_sensor_parse_bin
002ae840	14	secu_sensor_set_security_image_effect
002ae84e	24	secu_sensor_white_balance_get
002ae866	380	secu_sensor_set_isp_fps
002ae9e2	64	secu_sensor_get_isp_fps
002aea22	260	secu_sensor_get_again
002aeb26	28	secu_sensor_flicker_enable
002aeb42	440	secu_sensor_digital_wdr_set
002aecfa	164	secu_sensor_digital_wdr_get
002aed9e	454	secu_sensor_exp_mode_strategy_set
002aef64	156	secu_sensor_exp_mode_strategy_get
